optIter	freq	dB(S(1,1))[0, ::]
51	8.99000000000000021E8	-2.94182649282502995E0
51	9.00000000000000000E8	-2.97813632435048614E0
51	9.00999999999999979E8	-3.01519757177704628E0
51	9.01999999999999957E8	-3.05303048918578313E0
51	9.02999999999999936E8	-3.09165600365559090E0
51	9.04000000000000092E8	-3.13109574211551589E0
51	9.05000000000000071E8	-3.17137205962281454E0
51	9.05999999999999872E8	-3.21250806871389294E0
51	9.07000000000000028E8	-3.25452767070704851E0
51	9.08000000000000007E8	-3.29745558790832627E0
51	9.08999999999999986E8	-3.34131739802779659E0
51	9.09999999999999964E8	-3.38613956999054100E0
51	9.10999999999999943E8	-3.43194950164946633E0
51	9.12000000000000099E8	-3.47877555943018812E0
51	9.12999999999999901E8	-3.52664712021041371E0
51	9.14000000000000057E8	-3.57559461525011990E0
51	9.15000000000000036E8	-3.62564957656086539E0
51	9.16000000000000014E8	-3.67684468557166566E0
51	9.16999999999999993E8	-3.72921382501700638E0
51	9.17999999999999972E8	-3.78279213307009154E0
51	9.19000000000000128E8	-3.83761606091159679E0
51	9.19999999999999929E8	-3.89372343356617812E0
51	9.20999999999999908E8	-3.95115351420396665E0
51	9.22000000000000064E8	-4.00994707210939705E0
51	9.23000000000000043E8	-4.07014645501244310E0
51	9.24000000000000021E8	-4.13179566550527078E0
51	9.25000000000000000E8	-4.19494044227947072E0
51	9.25999999999999979E8	-4.25962834648020738E0
51	9.26999999999999957E8	-4.32590885350349286E0
51	9.27999999999999936E8	-4.39383345060865427E0
51	9.29000000000000092E8	-4.46345574105169973E0
51	9.30000000000000071E8	-4.53483155503834023E0
51	9.30999999999999872E8	-4.60801906847107823E0
51	9.32000000000000028E8	-4.68307892921815050E0
51	9.33000000000000007E8	-4.76007439310837999E0
51	9.33999999999999986E8	-4.83907146877559580E0
51	9.34999999999999964E8	-4.92013907360083547E0
51	9.35999999999999943E8	-5.00334920087183832E0
51	9.37000000000000099E8	-5.08877709954936996E0
51	9.37999999999999901E8	-5.17650146791940280E0
51	9.39000000000000057E8	-5.26660466220057089E0
51	9.40000000000000036E8	-5.35917292189141392E0
51	9.41000000000000014E8	-5.45429661323271553E0
51	9.41999999999999993E8	-5.55207049303082734E0
51	9.42999999999999972E8	-5.65259399453069200E0
51	9.44000000000000128E8	-5.75597153785435189E0
51	9.44999999999999929E8	-5.86231286815866692E0
51	9.45999999999999908E8	-5.97173342344961799E0
51	9.47000000000000064E8	-6.08435473656958337E0
51	9.48000000000000043E8	-6.20030487466529578E0
51	9.49000000000000021E8	-6.31971892046682626E0
51	9.50000000000000000E8	-6.44273950081987845E0
51	9.50999999999999979E8	-6.56951736778998630E0
51	9.51999999999999957E8	-6.70021203906190088E0
51	9.52999999999999936E8	-6.83499250544945447E0
51	9.54000000000000092E8	-6.97403801356211961E0
51	9.55000000000000071E8	-7.11753893442742402E0
51	9.55999999999999872E8	-7.26569772910625034E0
51	9.57000000000000028E8	-7.41873002504090362E0
51	9.58000000000000007E8	-7.57686581898691180E0
51	9.58999999999999986E8	-7.74035082477997882E0
51	9.59999999999999964E8	-7.90944798758444723E0
51	9.60999999999999943E8	-8.08443919011386392E0
51	9.62000000000000099E8	-8.26562718104258565E0
51	9.62999999999999901E8	-8.45333776087928079E0
51	9.64000000000000057E8	-8.64792226915231588E0
51	9.65000000000000036E8	-8.84976042213882508E0
51	9.66000000000000014E8	-9.05926356452190795E0
51	9.66999999999999993E8	-9.27687840812171416E0
51	9.67999999999999972E8	-9.50309134835034186E0
51	9.69000000000000128E8	-9.73843346988763336E0
51	9.69999999999999929E8	-9.98348637615642431E0
51	9.70999999999999908E8	-1.02388890127569421E1
51	9.72000000000000064E8	-1.05053456933044775E1
51	9.73000000000000043E8	-1.07836355931151595E1
51	9.74000000000000021E8	-1.10746240423810272E1
51	9.75000000000000000E8	-1.13792760456699971E1
51	9.75999999999999979E8	-1.16986725754002951E1
51	9.76999999999999957E8	-1.20340303489542388E1
51	9.77999999999999936E8	-1.23867260247820199E1
51	9.79000000000000092E8	-1.27583260546453370E1
51	9.80000000000000071E8	-1.31506238561959332E1
51	9.80999999999999872E8	-1.35656865693981810E1
51	9.82000000000000028E8	-1.40059145204232371E1
51	9.83000000000000007E8	-1.44741177746438909E1
51	9.83999999999999986E8	-1.49736160285292219E1
51	9.84999999999999964E8	-1.55083709306538209E1
51	9.85999999999999943E8	-1.60831643411882941E1
51	9.87000000000000099E8	-1.67038430941504545E1
51	9.87999999999999901E8	-1.73776624366671628E1
51	9.89000000000000057E8	-1.81137800778753855E1
51	9.90000000000000036E8	-1.89239877447305682E1
51	9.91000000000000014E8	-1.98238318877353303E1
51	9.91999999999999993E8	-2.08344016568854729E1
51	9.92999999999999972E8	-2.19853257073487685E1
51	9.94000000000000128E8	-2.33201129304653554E1
51	9.94999999999999929E8	-2.49064482511367169E1
51	9.95999999999999908E8	-2.68582293495808466E1
51	9.97000000000000064E8	-2.93902164590261750E1
51	9.98000000000000043E8	-3.29879513439765404E1
51	9.99000000000000021E8	-3.92004073893570304E1
51	1.00000000000000000E9	-5.18850465913837944E1
51	1.00099999999999989E9	-3.78574101724433953E1
51	1.00200000000000000E9	-3.22614612672062284E1
51	1.00299999999999989E9	-2.88640788553332106E1
51	1.00400000000000000E9	-2.64217421214366333E1
51	1.00500000000000012E9	-2.45147002345942866E1
51	1.00599999999999978E9	-2.29505637227116299E1
