freq	stab_fact(S)
8.09999999999999964E7	8.68145000293436198E-1
8.19999999999999929E7	8.70835352680898289E-1
8.30000000000000071E7	8.73455308509414685E-1
8.40000000000000036E7	8.76007067509153359E-1
8.50000000000000000E7	8.78492755187781782E-1
8.59999999999999964E7	8.80914425149961033E-1
8.69999999999999929E7	8.83274061398284793E-1
8.80000000000000071E7	8.85573580584595810E-1
8.90000000000000036E7	8.87814834208693249E-1
9.00000000000000000E7	8.89999610789973339E-1
9.09999999999999964E7	8.92129637979215673E-1
9.19999999999999929E7	8.94206584618957656E-1
9.30000000000000071E7	8.96232062749159653E-1
9.40000000000000036E7	8.98207629570759103E-1
9.50000000000000000E7	9.00134789339617214E-1
9.59999999999999964E7	9.02014995218137727E-1
9.69999999999999929E7	9.03849651058521530E-1
9.80000000000000071E7	9.05640113150584902E-1
9.90000000000000036E7	9.07387691896410864E-1
1.00000000000000000E8	9.09093653438355709E-1
1.01000000000000001E8	9.10759221241580441E-1
1.02000000000000002E8	9.12385577610536913E-1
1.03000000000000003E8	9.13973865164940236E-1
1.04000000000000004E8	9.15525188260950884E-1
1.05000000000000004E8	9.17040614366496598E-1
1.06000000000000005E8	9.18521175381006572E-1
1.06999999999999984E8	9.19967868920917553E-1
1.08000000000000007E8	9.21381659547143883E-1
1.09000000000000008E8	9.22763479958426380E-1
1.10000000000000009E8	9.24114232135767466E-1
1.10999999999999988E8	9.25434788445126344E-1
1.11999999999999988E8	9.26725992705984147E-1
1.13000000000000012E8	9.27988661214199873E-1
1.14000000000000012E8	9.29223583729141644E-1
1.14999999999999991E8	9.30431524426041356E-1
1.15999999999999992E8	9.31613222810280739E-1
1.16999999999999993E8	9.32769394603053392E-1
1.18000000000000016E8	9.33900732584006121E-1
1.18999999999999995E8	9.35007907414297179E-1
1.19999999999999996E8	9.36091568418991749E-1
1.20999999999999996E8	9.37152344346120536E-1
1.21999999999999997E8	9.38190844096007126E-1
1.22999999999999998E8	9.39207657419247255E-1
1.23999999999999999E8	9.40203355596178803E-1
1.25000000000000000E8	9.41178492083811413E-1
1.26000000000000001E8	9.42133603139513731E-1
1.27000000000000002E8	9.43069208425735361E-1
1.28000000000000003E8	9.43985811585926982E-1
1.29000000000000004E8	9.44883900805840149E-1
1.30000000000000004E8	9.45763949345739441E-1
1.31000000000000005E8	9.46626416057691955E-1
1.31999999999999984E8	9.47471745884942607E-1
1.33000000000000007E8	9.48300370334534470E-1
1.34000000000000008E8	9.49112707946112444E-1
1.35000000000000009E8	9.49909164725789523E-1
1.35999999999999988E8	9.50690134580306889E-1
1.36999999999999988E8	9.51455999722005785E-1
1.38000000000000012E8	9.52207131068956336E-1
1.39000000000000012E8	9.52943888624458424E-1
1.39999999999999991E8	9.53666621840967821E-1
1.40999999999999992E8	9.54375669977989638E-1
1.41999999999999993E8	9.55071362437040783E-1
1.43000000000000016E8	9.55754019095718554E-1
1.43999999999999995E8	9.56423950617118734E-1
1.44999999999999996E8	9.57081458758255010E-1
1.45999999999999996E8	9.57726836660533820E-1
1.46999999999999997E8	9.58360369133529311E-1
1.47999999999999998E8	9.58982332927927672E-1
1.48999999999999999E8	9.59592996992957836E-1
1.50000000000000000E8	9.60192622737915258E-1
1.51000000000000001E8	9.60781464266101537E-1
1.52000000000000002E8	9.61359768616527965E-1
1.53000000000000003E8	9.61927775988496947E-1
1.54000000000000004E8	9.62485719959358121E-1
1.55000000000000004E8	9.63033827695806544E-1
1.56000000000000005E8	9.63572320154756667E-1
1.56999999999999984E8	9.64101412286465020E-1
1.58000000000000007E8	9.64621313213013210E-1
1.59000000000000008E8	9.65132226417944494E-1
1.60000000000000009E8	9.65634349924841473E-1
1.61000000000000010E8	9.66127876456675061E-1
1.61999999999999988E8	9.66612993610133842E-1
1.63000000000000012E8	9.67089884009167200E-1
1.63999999999999990E8	9.67558725457126201E-1
1.64999999999999991E8	9.68019691087055278E-1
1.66000000000000014E8	9.68472949502876368E-1
1.66999999999999993E8	9.68918664916100170E-1
1.68000000000000016E8	9.69356997279354538E-1
1.68999999999999995E8	9.69788102415348341E-1
1.69999999999999996E8	9.70212132140101957E-1
1.71000000000000019E8	9.70629234382431960E-1
1.71999999999999997E8	9.71039553300502334E-1
1.72999999999999998E8	9.71443229395004870E-1
1.73999999999999977E8	9.71840399613099848E-1
1.75000000000000000E8	9.72231197457078089E-1
1.76000000000000023E8	9.72615753084416923E-1
1.77000000000000002E8	9.72994193404069918E-1
1.78000000000000003E8	9.73366642171891705E-1
1.78999999999999981E8	9.73733220082113782E-1
1.80000000000000004E8	9.74094044855775110E-1
1.81000000000000005E8	9.74449231326572196E-1
1.81999999999999984E8	9.74798891521018795E-1
1.83000000000000007E8	9.75143134743561291E-1
1.83999999999999986E8	9.75482067649547346E-1
1.85000000000000009E8	9.75815794319988328E-1
1.86000000000000010E8	9.76144416337917420E-1
1.86999999999999988E8	9.76468032855957269E-1
1.88000000000000012E8	9.76786740664146969E-1
1.88999999999999990E8	9.77100634256136047E-1
1.89999999999999991E8	9.77409805894640726E-1
1.91000000000000014E8	9.77714345670112017E-1
1.91999999999999993E8	9.78014341564896839E-1
1.93000000000000016E8	9.78309879504457847E-1
1.93999999999999995E8	9.78601043419453376E-1
1.94999999999999996E8	9.78887915299350198E-1
1.96000000000000019E8	9.79170575241484364E-1
1.96999999999999997E8	9.79449101506093278E-1
1.97999999999999998E8	9.79723570564956248E-1
1.98999999999999977E8	9.79994057145940012E-1
2.00000000000000000E8	9.80260634285032140E-1
2.01000000000000023E8	9.80523373366570716E-1
2.02000000000000002E8	9.80782344171155351E-1
2.03000000000000025E8	9.81037614913395828E-1
2.04000000000000004E8	9.81289252288275193E-1
2.04999999999999982E8	9.81537321506086968E-1
2.06000000000000005E8	9.81781886335473786E-1
2.06999999999999984E8	9.82023009137284042E-1
2.08000000000000007E8	9.82260750903764901E-1
2.08999999999999986E8	9.82495171292426761E-1
2.10000000000000009E8	9.82726328660796433E-1
2.11000000000000032E8	9.82954280100106637E-1
2.12000000000000011E8	9.83179081465973859E-1
2.12999999999999989E8	9.83400787412760380E-1
2.13999999999999968E8	9.83619451421313329E-1
2.14999999999999991E8	9.83835125830662527E-1
2.16000000000000014E8	9.84047861864010898E-1
2.16999999999999993E8	9.84257709660687574E-1
2.18000000000000016E8	9.84464718298227837E-1
2.18999999999999995E8	9.84668935822799618E-1
