freq	stab_fact(S)
2.96999999999999975E8	9.77907537275014604E-1
2.97999999999999998E8	9.78152081454492262E-1
2.98999999999999977E8	9.78395168297457118E-1
3.00000000000000000E8	9.78636799961904025E-1
3.01000000000000023E8	9.78876978856091107E-1
3.02000000000000002E8	9.79115707625024534E-1
3.03000000000000025E8	9.79352989146716979E-1
3.04000000000000004E8	9.79588826512261690E-1
3.04999999999999982E8	9.79823223027075230E-1
3.06000000000000005E8	9.80056182195770376E-1
3.06999999999999984E8	9.80287707714569123E-1
3.08000000000000007E8	9.80517803459623138E-1
3.08999999999999986E8	9.80746473489171144E-1
3.10000000000000009E8	9.80973722021730943E-1
3.11000000000000032E8	9.81199553440070815E-1
3.12000000000000011E8	9.81423972274560619E-1
3.12999999999999989E8	9.81646983206313983E-1
3.13999999999999968E8	9.81868591050309192E-1
3.14999999999999991E8	9.82088800753015079E-1
3.16000000000000014E8	9.82307617388365095E-1
3.16999999999999993E8	9.82525046148151482E-1
3.18000000000000016E8	9.82741092337066569E-1
3.18999999999999995E8	9.82955761367206371E-1
3.20000000000000018E8	9.83169058752319103E-1
3.20999999999999996E8	9.83380990103579222E-1
3.22000000000000020E8	9.83591561121887281E-1
3.22999999999999954E8	9.83800777594549736E-1
3.23999999999999977E8	9.84008645392173165E-1
3.25000000000000000E8	9.84215170460958255E-1
3.26000000000000023E8	9.84420358817932772E-1
3.27000000000000046E8	9.84624216549480025E-1
3.27999999999999980E8	9.84826749808687829E-1
3.29000000000000004E8	9.85027964803850686E-1
3.29999999999999982E8	9.85227867801230950E-1
3.31000000000000005E8	9.85426465120464634E-1
3.32000000000000028E8	9.85623763128554664E-1
3.32999999999999963E8	9.85819768239185379E-1
3.33999999999999986E8	9.86014486904174881E-1
3.35000000000000009E8	9.86207925620063364E-1
3.36000000000000032E8	9.86400090912532335E-1
3.37000000000000011E8	9.86590989346229819E-1
3.37999999999999989E8	9.86780627508803221E-1
3.38999999999999968E8	9.86969012021221914E-1
3.39999999999999991E8	9.87156149524582993E-1
3.41000000000000014E8	9.87342046683652264E-1
3.42000000000000037E8	9.87526710180324940E-1
3.42999999999999972E8	9.87710146716010406E-1
3.43999999999999995E8	9.87892363005726715E-1
3.45000000000000018E8	9.88073365775264101E-1
3.45999999999999996E8	9.88253161762436427E-1
3.47000000000000020E8	9.88431757713057202E-1
3.47999999999999954E8	9.88609160378126894E-1
3.48999999999999977E8	9.88785376511927971E-1
3.50000000000000000E8	9.88960412877227490E-1
3.51000000000000023E8	9.89134276228026721E-1
3.52000000000000046E8	9.89306973326137040E-1
3.52999999999999980E8	9.89478510924381283E-1
3.54000000000000004E8	9.89648895777353488E-1
3.54999999999999982E8	9.89818134629328128E-1
3.56000000000000005E8	9.89986234218484995E-1
3.57000000000000028E8	9.90153201276693551E-1
3.57999999999999963E8	9.90319042523543835E-1
3.58999999999999986E8	9.90483764667795974E-1
3.60000000000000009E8	9.90647374409288162E-1
3.61000000000000032E8	9.90809878431506874E-1
3.62000000000000011E8	9.90971283403154324E-1
3.62999999999999989E8	9.91131595979411806E-1
3.63999999999999968E8	9.91290822796755045E-1
3.64999999999999991E8	9.91448970475836511E-1
3.66000000000000014E8	9.91606045618796372E-1
3.67000000000000037E8	9.91762054806730831E-1
3.67999999999999972E8	9.91917004601550367E-1
3.68999999999999995E8	9.92070901545749173E-1
3.70000000000000018E8	9.92223752156906258E-1
3.70999999999999996E8	9.92375562932005195E-1
3.72000000000000020E8	9.92526340343962232E-1
3.72999999999999954E8	9.92676090841886349E-1
3.73999999999999977E8	9.92824820851889100E-1
3.75000000000000000E8	9.92972536771426206E-1
3.76000000000000023E8	9.93119244975679649E-1
3.77000000000000046E8	9.93264951811036845E-1
3.77999999999999980E8	9.93409663600462878E-1
3.79000000000000004E8	9.93553386633406710E-1
3.79999999999999982E8	9.93696127176545119E-1
3.81000000000000005E8	9.93837891468733048E-1
3.82000000000000028E8	9.93978685715917365E-1
3.82999999999999963E8	9.94118516097951144E-1
3.83999999999999986E8	9.94257388764940586E-1
3.85000000000000009E8	9.94395309836880337E-1
3.86000000000000032E8	9.94532285401724181E-1
3.87000000000000011E8	9.94668321520795473E-1
3.87999999999999989E8	9.94803424222677357E-1
3.88999999999999968E8	9.94937599503537484E-1
3.89999999999999991E8	9.95070853329232463E-1
3.91000000000000014E8	9.95203191635472351E-1
3.92000000000000037E8	9.95334620323973951E-1
3.92999999999999972E8	9.95465145265977469E-1
3.93999999999999995E8	9.95594772301731012E-1
3.95000000000000018E8	9.95723507234418648E-1
3.95999999999999996E8	9.95851355840904162E-1
3.97000000000000020E8	9.95978323860230041E-1
3.97999999999999954E8	9.96104417001568443E-1
3.98999999999999977E8	9.96229640941152361E-1
4.00000000000000000E8	9.96354001321839888E-1
4.00999999999999979E8	9.96477503752461402E-1
