time	Tran1.TRAN.I_DC.i
2.63288342782996043E-8	8.32615433644864389E-2
2.63913342782996097E-8	9.19014098212508834E-2
2.64538342782996150E-8	1.03216825406873314E-1
2.65163342782996114E-8	1.15478703816086647E-1
2.65788342782996256E-8	1.26847069693275549E-1
2.66413342782996176E-8	1.35600335306951258E-1
2.67038342782996185E-8	1.40363375871616514E-1
2.67663342782996194E-8	1.40339547587011593E-1
2.68288342782996247E-8	1.35464452838149718E-1
2.68913342782996212E-8	1.26427629700938127E-1
2.69538342782996221E-8	1.14576084698037284E-1
2.70163342782996319E-8	1.01706600875319531E-1
2.70788342782996327E-8	8.97739178461546850E-2
2.71413342782996292E-8	8.05823011889805763E-2
2.72038342782996345E-8	7.55045204509090429E-2
2.72663342782996310E-8	7.52635908975983625E-2
2.73288342782996230E-8	7.98270346063608294E-2
2.73913342782996416E-8	8.84288354730369086E-2
2.74538342782996381E-8	9.97064799339617380E-2
2.75163342782996345E-8	1.11929761440995401E-1
2.75788342782996487E-8	1.23256685767432272E-1
2.76413342782996363E-8	1.31964481162507541E-1
2.77038342782996416E-8	1.36679117904708125E-1
2.77663342782996470E-8	1.36606283000063633E-1
2.78288342782996434E-8	1.31683783185995584E-1
2.78913342782996443E-8	1.22603026859604824E-1
2.79538342782996452E-8	1.10712111794999002E-1
2.80163342782996549E-8	9.78078427429452901E-2
2.80788342782996558E-8	8.58444235214361662E-2
2.81413342782996523E-8	7.66251996365325105E-2
2.82038342782996576E-8	7.15217223950550629E-2
2.82663342782996496E-8	7.12560805979390199E-2
2.83288342782996505E-8	7.57953566236791776E-2
2.83913342782996647E-8	8.43733464999719907E-2
2.84538342782996612E-8	9.56272965935902519E-2
2.85163342782996532E-8	1.07825948925312209E-1
2.85788342782996585E-8	1.19125336193258646E-1
2.86413342782996594E-8	1.27801574202432322E-1
2.87038342782996647E-8	1.32481791085126721E-1
2.87663342782996612E-8	1.32374027809809158E-1
2.88288342782996665E-8	1.27418259149761592E-1
2.88913342782996629E-8	1.18307664218601238E-1
2.89538342782996683E-8	1.06391291900842822E-1
2.90163342782996825E-8	9.34658117112775599E-2
2.90788342782996656E-8	8.14847724815811247E-2
2.91413342782996665E-8	7.22505458173690940E-2
2.92038342782996807E-8	6.71334678150731712E-2
2.92663342782996727E-8	6.68547752152088570E-2
2.93288342782996736E-8	7.13812269611026728E-2
2.93913342782996745E-8	7.99465552310081229E-2
2.94538342782996798E-8	9.11879038117526619E-2
2.95163342782996807E-8	1.03373087338826064E-1
2.95788342782996816E-8	1.14656277533495765E-1
2.96413342782996825E-8	1.23312571066867638E-1
2.97038342782996878E-8	1.27970248143131760E-1
2.97663342782996887E-8	1.27839601530104408E-1
2.98288342782996896E-8	1.22862628083073488E-1
2.98913342782996860E-8	1.13734086980629057E-1
2.99538342782996736E-8	1.01803781205099075E-1
3.00163342782996789E-8	8.88680894148572520E-2
3.00788342782996843E-8	7.68798090488631036E-2
3.01413342782996763E-8	6.76403295410360261E-2
3.02038342782996727E-8	6.25188449002664015E-2
3.02663342782996736E-8	6.22358672583309946E-2
3.03288342782996789E-8	6.67579911808946935E-2
3.03913342782996709E-8	7.53190419834448122E-2
3.04538342782996629E-8	8.65562131775992505E-2
3.05163342782996683E-8	9.87365507920945262E-2
3.05788342782996647E-8	1.10012522665162416E-1
3.06413342782996612E-8	1.18658305425395616E-1
3.07038342782996576E-8	1.23303278276563155E-1
3.07663342782996541E-8	1.23159802012938990E-1
3.08288342782996549E-8	1.18171675229145490E-1
3.08913342782996558E-8	1.09034992811398967E-1
3.09538342782996478E-8	9.71000811499109950E-2
