time	Tran1.TRAN.I_RL.i
1.60788342782993832E-8	1.49184227407103021E-2
1.61413342782993841E-8	1.83670778383516509E-2
1.62038342782993849E-8	1.85588692821618384E-2
1.62663342782993880E-8	1.54756866750610533E-2
1.63288342782993867E-8	9.60499842566074591E-3
1.63913342782993920E-8	1.85341740487379947E-3
1.64538342782993885E-8	-6.59953825361090374E-3
1.65163342782993916E-8	-1.44888672777709537E-2
1.65788342782993925E-8	-2.06481860838103337E-2
1.66413342782993934E-8	-2.41561057434693982E-2
1.67038342782993987E-8	-2.44619599207120553E-2
1.67663342782993996E-8	-2.14868304180583625E-2
1.68288342782993983E-8	-1.56533860568228134E-2
1.68913342782994036E-8	-7.83003748336242289E-3
1.69538342782994067E-8	7.95458725320143323E-4
1.70163342782994054E-8	8.90151052190756076E-3
1.70788342782994040E-8	1.52444554674738142E-2
1.71413342782994049E-8	1.88529794311905863E-2
1.72038342782994080E-8	1.91810479212662943E-2
1.72663342782994111E-8	1.61950462818357810E-2
1.73288342782994120E-8	1.03734871293713682E-2
1.73913342782994174E-8	2.62400333568820132E-3
1.74538342782994116E-8	-5.86674488684419870E-3
1.75163342782994125E-8	-1.38243319830758105E-2
1.75788342782994156E-8	-2.00701526309999867E-2
1.76413342782994143E-8	-2.36685979894506682E-2
1.77038342782994151E-8	-2.40532644764743386E-2
1.77663342782994205E-8	-2.11296445299405278E-2
1.78288342782994214E-8	-1.53104864966357890E-2
1.78913342782994267E-8	-7.46207711403014073E-3
1.79538342782994187E-8	1.22384537192881959E-3
1.80163342782994285E-8	9.41566908981968886E-3
1.80788342782994271E-8	1.58555951678609808E-2
1.81413342782994258E-8	1.95583050677148873E-2
1.82038342782994267E-8	1.99654713338824097E-2
1.82663342782994276E-8	1.70341973445545669E-2
1.83288342782994329E-8	1.12392580051670010E-2
1.83913342782994338E-8	3.48959044448259181E-3
1.84538342782994347E-8	-5.02398134984871270E-3
1.85163342782994356E-8	-1.30211595164816174E-2
1.85788342782994320E-8	-1.93172217529770651E-2
1.86413342782994373E-8	-2.29695634277512317E-2
1.87038342782994427E-8	-2.34018607055088168E-2
1.87663342782994369E-8	-2.05097562506806375E-2
1.88288342782994422E-8	-1.47004421972793398E-2
1.88913342782994453E-8	-6.83860036435189933E-3
1.89538342782994440E-8	1.88166872467457891E-3
1.90163342782994471E-8	1.01219965198279049E-2
1.90788342782994502E-8	1.66162713645811921E-2
1.91413342782994511E-8	2.03710937700016004E-2
1.92038342782994542E-8	2.08205768850203832E-2
1.92663342782994507E-8	1.79169013299976543E-2
1.93288342782994538E-8	1.21333888973933002E-2
1.93913342782994547E-8	4.37988720018311817E-3
1.94538342782994556E-8	-4.14992686175044412E-3
1.95163342782994609E-8	-1.21723809630868551E-2
1.95788342782994595E-8	-1.85002607128990793E-2
1.96413342782994560E-8	-2.21873571535078495E-2
1.97038342782994591E-8	-2.26511965892890821E-2
1.97663342782994622E-8	-1.97814835519132703E-2
1.98288342782994675E-8	-1.39819564613665204E-2
1.98913342782994729E-8	-6.11614476642932559E-3
1.99538342782994671E-8	2.62021506974801088E-3
2.00163342782994702E-8	1.08845515656034508E-2
2.00788342782994711E-8	1.74059198353898292E-2
2.01413342782994720E-8	2.11860979191793941E-2
2.02038342782994729E-8	2.16547938587130107E-2
2.02663342782994693E-8	1.87616672232500359E-2
2.03288342782994791E-8	1.29794316218137218E-2
2.03913342782994800E-8	5.21864814939230115E-3
2.04538342782994809E-8	-3.32507837710946497E-3
2.05163342782994773E-8	-1.13663064292379690E-2
2.05788342782994826E-8	-1.77168733096302633E-2
2.06413342782994791E-8	-2.14286301349599517E-2
2.07038342782994844E-8	-2.19154930822634197E-2
2.07663342782994853E-8	-1.90636508581429265E-2
2.08288342782994862E-8	-1.32746918979594763E-2
2.08913342782994871E-8	-5.41152609246682204E-3
2.09538342782994924E-8	3.32899957172137295E-3
2.10163342782994933E-8	1.16018385835841054E-2
2.10788342782994942E-8	1.81331960934835212E-2
2.11413342782994906E-8	2.19220588013600093E-2
2.12038342782995004E-8	2.23957394964708323E-2
2.12663342782994969E-8	1.95025857420456217E-2
2.13288342782995022E-8	1.37150935073986324E-2
2.13913342782995031E-8	5.94439555014708532E-3
2.14538342782994951E-8	-2.61271644740844788E-3
2.15163342782995048E-8	-1.06698082260734761E-2
2.15788342782995102E-8	-1.70382082267959034E-2
2.16413342782995022E-8	-2.07686812610193572E-2
2.17038342782995031E-8	-2.12731589428437573E-2
2.17663342782995084E-8	-1.84359424557326457E-2
2.18288342782995137E-8	-1.26575241005059835E-2
2.18913342782995102E-8	-4.80064512314006997E-3
2.19538342782995111E-8	3.93707315014278691E-3
2.20163342782995164E-8	1.22091486921934500E-2
2.20788342782995128E-8	1.87401800134666496E-2
2.21413342782995182E-8	2.25276835704857348E-2
2.22038342782995146E-8	2.29978098549821741E-2
2.22663342782995199E-8	2.00982983500110235E-2
2.23288342782995208E-8	1.43016444500614970E-2
2.23913342782995262E-8	6.51940317392676150E-3
2.24538342782995226E-8	-2.05092500008093559E-3
2.25163342782995191E-8	-1.01221980320900862E-2
2.25788342782995288E-8	-1.65052138253195757E-2
2.26413342782995297E-8	-2.02500394853315324E-2
2.27038342782995262E-8	-2.07676934859111251E-2
2.27663342782995270E-8	-1.79418149933648596E-2
2.28288342782995324E-8	-1.21726710023323514E-2
2.28913342782995333E-8	-4.32321007299965476E-3
2.29538342782995342E-8	4.40831976344472576E-3
2.30163342782995350E-8	1.26746286650025497E-2
2.30788342782995404E-8	1.91995510112412893E-2
2.31413342782995413E-8	2.29799919058729518E-2
2.32038342782995421E-8	2.34417322362050351E-2
2.32663342782995430E-8	2.05323959629961772E-2
2.33288342782995439E-8	1.47245986187866729E-2
2.33913342782995493E-8	6.93020189648562823E-3
2.34538342782995457E-8	-1.65283527564182275E-3
2.35163342782995510E-8	-9.73674030451149441E-3
2.35788342782995564E-8	-1.61315982421087689E-2
2.36413342782995484E-8	-1.98869184296003354E-2
2.37038342782995493E-8	-2.04135734545148617E-2
2.37663342782995546E-8	-1.75954821721999410E-2
2.38288342782995599E-8	-1.18333687263230525E-2
2.38913342782995564E-8	-3.99072415339285058E-3
2.39538342782995572E-8	4.73362117682368222E-3
2.40163342782995626E-8	1.29919754784672348E-2
2.40788342782995635E-8	1.95079807738117483E-2
2.41413342782995599E-8	2.32785068643283921E-2
2.42038342782995652E-8	2.37295076506142388E-2
2.42663342782995661E-8	2.08088479318522657E-2
2.43288342782995670E-8	1.49893406837357679E-2
2.43913342782995723E-8	7.18308419326835779E-3
2.44538342782995732E-8	-1.41162611095574708E-3
2.45163342782995652E-8	-9.50639180286204599E-3
2.45788342782995706E-8	-1.59103860857735535E-2
2.46413342782995759E-8	-1.96726023529026905E-2
2.47038342782995812E-8	-2.02043324039788796E-2
2.47663342782995777E-8	-1.73904687475927999E-2
2.48288342782995741E-8	-1.16326944492549678E-2
2.48913342782995795E-8	-3.79532278121901179E-3
2.49538342782995848E-8	4.92225071558739202E-3
2.50163342782995857E-8	1.31722124905660865E-2
2.50788342782995821E-8	1.96783915719379854E-2
2.51413342782995741E-8	2.34380224680141014E-2
2.52038342782995928E-8	2.38776049113297262E-2
2.52663342782995848E-8	2.09454827228875828E-2
2.53288342782995812E-8	1.51147235769592303E-2
2.53913342782995954E-8	7.29761541089477461E-3
2.54538342782995919E-8	-1.30728195611632980E-3
2.55163342782995883E-8	-9.41092956927138680E-3
2.55788342782995937E-8	-1.58214416272075886E-2
2.56413342782995946E-8	-1.95873169074056319E-2
2.57038342782995954E-8	-2.01206605278547768E-2
2.57663342782996008E-8	-1.73078144526619848E-2
2.58288342782995972E-8	-1.15517540894933135E-2
2.58913342782995981E-8	-3.71780736095548381E-3
2.59538342782996034E-8	4.99409070454225379E-3
2.60163342782996088E-8	1.32362099226233809E-2
2.60788342782996052E-8	1.97328148911876333E-2
2.61413342782996061E-8	2.34817750784336265E-2
2.62038342782996114E-8	2.39103761365747935E-2
2.62663342782996123E-8	2.09675744425189725E-2
2.63288342782996043E-8	1.51267227352920552E-2
2.63913342782996097E-8	7.30025269195198057E-3
2.64538342782996150E-8	-1.31307533990608460E-3
2.65163342782996114E-8	-9.42357430611364144E-3
2.65788342782996256E-8	-1.58382213995473231E-2
2.66413342782996176E-8	-1.96050479035637992E-2
2.67038342782996185E-8	-2.01372156997667018E-2
2.67663342782996194E-8	-1.73228028650392751E-2
2.68288342782996247E-8	-1.15662590929588793E-2
2.68913342782996212E-8	-3.73401642363416553E-3
2.69538342782996221E-8	4.97349755397695326E-3
2.70163342782996319E-8	1.32087941069272663E-2
